"idsite","idearthquake","idbuilding","sdr","pfa","idresponse"
70,1,1,0.00067754,0.063247,7132
71,1,1,0.0013946,0.064686,7133
71,1,1,0.0010571,0.10166,7134
72,1,1,0.0020046,0.12101,7135
72,1,1,0.001566,0.15573,7136
73,1,1,0.0019225,0.090977,7137
73,1,1,0.0014951,0.14484,7138
74,1,1,0.0019275,0.081573,7139
74,1,1,0.0015884,0.16344,7140
75,1,1,0.0026551,0.12073,7141
75,1,1,0.0019492,0.18394,7142
76,1,1,0.001058,0.11468,7143
76,1,1,0.00078447,0.10462,7144
77,1,1,0.00097423,0.047415,7145
77,1,1,0.00082657,0.086803,7146
78,1,1,0.00075512,0.038861,7147
78,1,1,0.00065626,0.070608,7148
79,1,1,0.00099796,0.12571,7149
79,1,1,0.00082852,0.11708,7150
80,1,1,0.0015961,0.08069,7151
80,1,1,0.0011786,0.11,7152
81,1,1,0.0014499,0.069934,7153
81,1,1,0.0011127,0.11245,7154
82,1,1,0.0014785,0.071097,7155
82,1,1,0.0010614,0.098217,7156
83,1,1,0.0014155,0.067342,7157
83,1,1,0.0011049,0.10752,7158
84,1,1,0.001333,0.081546,7159
84,1,1,0.00097047,0.097053,7160
85,1,1,0.0016554,0.083151,7161
85,1,1,0.0012456,0.12387,7162
86,1,1,0.0014055,0.08536,7163
86,1,1,0.00091963,0.087886,7164
87,1,1,0.0014456,0.078716,7165
87,1,1,0.0010593,0.099629,7166
88,1,1,0.0027523,0.13075,7167
88,1,1,0.0021409,0.21678,7168
89,1,1,0.00086403,0.045911,7169
89,1,1,0.00072751,0.076532,7170
90,1,1,0.0019737,0.096651,7171
90,1,1,0.0014075,0.12752,7172
91,1,1,0.0020681,0.095016,7173
91,1,1,0.0015556,0.1562,7174
92,1,1,0.0004782,0.025326,7175
92,1,1,0.00035263,0.035759,7176
93,1,1,0.0002991,0.031306,7177
93,1,1,0.00024463,0.028888,7178
94,1,1,0.0021315,0.10081,7179
94,1,1,0.0016201,0.15677,7180
95,1,1,0.0032778,0.16281,7181
95,1,1,0.0024428,0.22898,7182
96,1,1,0.00094571,0.055501,7183
96,1,1,0.00072319,0.074571,7184
97,1,1,0.00089353,0.06703,7185
97,1,1,0.00071505,0.083471,7186
98,1,1,0.004241,0.25724,7187
98,1,1,0.0032526,0.33045,7188
99,1,1,0.0017419,0.08186,7189
99,1,1,0.0012507,0.11614,7190
100,1,1,0.017701,0.34241,7191
100,1,1,0.0109,0.43972,7192
101,1,1,0.0032756,0.16406,7193
101,1,1,0.0025629,0.25468,7194
102,1,1,0.0010695,0.045022,7195
102,1,1,0.00079586,0.076572,7196
103,1,1,0.00077587,0.033305,7197
103,1,1,0.00061776,0.063173,7198
104,1,1,0.011343,0.26837,7199
104,1,1,0.0076945,0.41092,7200
105,1,1,0.0027561,0.1611,7201
105,1,1,0.0021043,0.2173,7202
106,1,1,0.0045572,0.20849,7203
106,1,1,0.0033152,0.33528,7204
107,1,1,0.020102,0.3488,7205
107,1,1,0.013335,0.40009,7206
108,1,1,0.010663,0.31363,7207
108,1,1,0.0071915,0.37771,7208
109,1,1,0.00082894,0.048589,7209
109,1,1,0.00066569,0.06805,7210
110,1,1,0.0079612,0.26761,7211
110,1,1,0.004314,0.3493,7212
111,1,1,0.0021999,0.12637,7213
111,1,1,0.0016904,0.17263,7214
112,1,1,0.00066486,0.032856,7215
112,1,1,0.00051194,0.048821,7216
113,1,1,0.0010993,0.06475,7217
113,1,1,0.0007963,0.076283,7218
114,1,1,0.0031701,0.1346,7219
114,1,1,0.0024222,0.23494,7220
115,1,1,0.0014011,0.061779,7221
115,1,1,0.0010455,0.10359,7222
116,1,1,0.00094428,0.041481,7223
116,1,1,0.00070762,0.066148,7224
117,1,1,0.0008657,0.042726,7225
117,1,1,0.00062664,0.061769,7226
118,1,1,0.0011562,0.050106,7227
118,1,1,0.00088673,0.084222,7228
119,1,1,0.011493,0.3204,7229
119,1,1,0.0056646,0.33856,7230
120,1,1,0.00028293,0.033704,7231
120,1,1,0.00022152,0.031263,7232
121,1,1,0.0023094,0.096786,7233
121,1,1,0.0017855,0.17696,7234
122,1,1,0.00088945,0.041162,7235
122,1,1,0.00066679,0.061958,7236
123,1,1,0.0010537,0.048292,7237
123,1,1,0.00077533,0.074016,7238
124,1,1,0.0015654,0.072784,7239
124,1,1,0.0011702,0.11243,7240
125,1,1,0.0024604,0.13587,7241
125,1,1,0.001995,0.20551,7242
126,1,1,0.0020262,0.093582,7243
126,1,1,0.0015255,0.14704,7244
127,1,1,0.0022033,0.11994,7245
127,1,1,0.0017689,0.17822,7246
128,1,1,0.0018549,0.088576,7247
128,1,1,0.0014174,0.13839,7248
129,1,1,0.0021213,0.0818,7249
129,1,1,0.0016277,0.15839,7250
130,1,1,0.0015054,0.072175,7251
130,1,1,0.0011448,0.10974,7252
131,1,1,0.0019599,0.10289,7253
131,1,1,0.0014929,0.15461,7254
132,1,1,0.0051255,0.25289,7255
132,1,1,0.0035233,0.30364,7256
133,1,1,0.0024292,0.16313,7257
133,1,1,0.0019164,0.19925,7258
134,1,1,0.0016305,0.095616,7259
134,1,1,0.0012219,0.12456,7260
135,1,1,0.008695,0.22593,7261
135,1,1,0.0058033,0.40292,7262
136,1,1,0.0073349,0.23923,7263
136,1,1,0.0044717,0.3453,7264
137,1,1,0.0041923,0.21022,7265
137,1,1,0.0030605,0.29046,7266
138,1,1,0.022819,0.31849,7267
138,1,1,0.018735,0.42609,7268
139,1,1,0.0070681,0.2862,7269
139,1,1,0.0044596,0.37946,7270
140,1,1,0.010687,0.4006,7271
140,1,1,0.0082092,0.39053,7272
141,1,1,0.0091068,0.3176,7273
141,1,1,0.0069352,0.47489,7274
142,1,1,0.0033557,0.14962,7275
142,1,1,0.0025465,0.24547,7276
143,1,1,0.0034332,0.21639,7277
143,1,1,0.0028436,0.29127,7278
144,1,1,0.0011544,0.059134,7279
144,1,1,0.00089758,0.090124,7280
145,1,1,0.0041345,0.2184,7281
145,1,1,0.0029377,0.291,7282
146,1,1,0.0018206,0.083899,7283
146,1,1,0.0013495,0.12869,7284
147,1,1,0.0011298,0.051105,7285
147,1,1,0.00083946,0.078657,7286
148,1,1,0.0014005,0.061773,7287
148,1,1,0.001077,0.10382,7288
149,1,1,0.00082886,0.039718,7289
149,1,1,0.00061796,0.058909,7290
150,1,1,0.00095846,0.040586,7291
150,1,1,0.00072662,0.068085,7292
151,1,1,0.00067967,0.041741,7293
151,1,1,0.00051107,0.051807,7294
152,1,1,0.0010478,0.048854,7295
152,1,1,0.00080345,0.080586,7296
1,1,2,0.00067444,0.045078,7297
1,1,2,0.00067309,0.038151,7298
1,1,2,0.00061431,0.041378,7299
1,1,2,0.00047988,0.056374,7300
2,1,2,0.00040073,0.019304,7301
2,1,2,0.00038001,0.025064,7302
2,1,2,0.00032899,0.019694,7303
2,1,2,0.00024552,0.02685,7304
3,1,2,0.0011303,0.046173,7305
3,1,2,0.0012033,0.05645,7306
